text,count_adults,count_children,start_date,nights,price_per_day,remarks,model_output
"Снимем жильё с 1.09по 8.09 двухместный,су в номере ,олимпийская деревня или рядом ,предложения в лс.",2,0,,,,су в номере,"{'count_adults': 2, 'count_children': 0, 'start_date': '2024-09-01', 'nights': 8, 'price_per_day': None, 'remarks': 'двухместный, су в номере, олимпийская деревня или рядом'}"
"Ищем недорогое жилье недалеко от моря. 3-местный и 2-местный эконом. 3 взрослых и 3 детей (2,9,11 лет). Строго с 20 по 30 июля",3,3,,,,"недалеко от моря, недорого, эконом","{'count_adults': 3, 'count_children': 3, 'start_date': '2024-07-20', 'nights': 11, 'price_per_day': None, 'remarks': 'недорогое жилье рядом с морем'}"
"Здравствуйте,ищем жилье. 2х местный номер,с удобствами. с 17.07 по 27.07.",2,0,2024-07-17,10.0,,,"{'count_adults': 2, 'count_children': 0, 'start_date': '2024-07-17', 'nights': 11, 'price_per_day': None, 'remarks': 'с удобствами'}"
Здравствуйте. Интересует жилье 3 местный номер.с20 .06 по 28.06 не далеко от моря.,2,0,,,,,"{'count_adults': 3, 'count_children': 0, 'start_date': '2024-06-20', 'nights': 9, 'price_per_day': None, 'remarks': 'не далеко от моря'}"
"Добрый День!! Семья 4 человека, 2 взрослых, дети 10 и 3 года, ищем жилье, можно 3-х местный с доп.местом. С 1 июля поближе к морю и не дорого

😉",2,0,,,,,"{'count_adults': 2, 'count_children': 2, 'start_date': '2024-07-01', 'nights': 7, 'price_per_day': None, 'remarks': 'близко к морю, трехместный с доп местом'}"
"Здравствуйте. Интересует жильё в Лазаревском. 3е взрослых. 
Со своим сан узлом и желательно с балконом. Не больше 10мин до моря. 
По приемлемым ценам. 
С 4 августа дней на 7-10",2,0,,,,,"{'count_adults': 3, 'count_children': 0, 'start_date': '2024-08-04', 'nights': 7, 'price_per_day': None, 'remarks': 'сан узел, балкон, близко к морю'}"
"Ищем жильё эконом класса, до 1000 на двоих, с 7 по 15 августа, недалеко от моря. Писать в личку",2,0,,,,"недалеко от моря, эконом","{'count_adults': 2, 'count_children': 0, 'start_date': '2024-08-07', 'nights': 9, 'price_per_day': 1000, 'remarks': 'недалеко от моря'}"
Добрый день. Ищем жильё в Лазаревском. С 10.08.2018 по 26.08.2018. Два взрослых и ребенок 10 лет.,2,0,,,,,"{'count_adults': 2, 'count_children': 1, 'start_date': '2018-08-10', 'nights': 17, 'price_per_day': None, 'remarks': None}"
Здравствуйте! Ищем жильё с 15  по 23 августа 2 взрослых 1 ребёнок 6 лет. И сколько будет по цене?,2,6,,,1.0,,"{'count_adults': 2, 'count_children': 1, 'start_date': '2024-08-15', 'nights': 9, 'price_per_day': None, 'remarks': None}"
Добрый день интересует жилье семья 5 человек двое взрослых и трое детей с 20 по 30 сентября на берегу моря цена пожайлуста в личку,2,0,,,,у моря,"{'count_adults': 2, 'count_children': 3, 'start_date': '2024-09-20', 'nights': 10, 'price_per_day': None, 'remarks': 'берег моря'}"
"здравствуйте. с 24 июля по 1 августа ищем жилье для 2-х взрослых эконом. стоимость подскажите, пожалуйста?",2,0,,,,эконом,"{'count_adults': 2, 'count_children': 0, 'start_date': '2024-07-24', 'nights': 8, 'price_per_day': None, 'remarks': None}"
"Здравствуйте, интересует жилье п.Лазаревское 2 взр + 2 реб. 6 и 8 лет с 08.08 по 21.08? Недорого! Рядом с морем!",2,0,2024-08-08,13.0,2.0,"рядом с морем, недорого","{'count_adults': 2, 'count_children': 2, 'start_date': '2024-08-08', 'nights': 14, 'price_per_day': None, 'remarks': 'рядом с морем'}"
"Доброе время суток) Ищем жильё- эконом, с  8 июля по 14 июля , 2 взрослых и 2 детей ( 8 и 13 лет), в шаговой доступности от моря, рядом магазины, окраины не предлагать!! Желательно с бассейном.",2,2,,,,"эконом, в шаговой доступности","{'count_adults': 2, 'count_children': 2, 'start_date': '2024-07-08', 'nights': 7, 'price_per_day': None, 'remarks': 'рядом море, магазины, бассейн'}"
"Интересует жильё-эконом, кондиционер только чтобы был, цена с человека? Рядом с морем, +- 5-10 минут ходьбы, с 10 по 20 июля примерно! Будет только женщина. Спасибо)",2,0,,,,"рядом с морем, эконом","{'count_adults': 1, 'count_children': 0, 'start_date': '2024-07-10', 'nights': 10, 'price_per_day': None, 'remarks': 'рядом с морем, эконом-класс, желательно наличие кондиционера'}"
"Здравствуйте,  ищем жилье с женой в Лазеревском, 2 детей 11 и 4лет, на 29.06.19, под ключ",2,2,,,,,"{'count_adults': 2, 'count_children': 2, 'start_date': '2019-06-29', 'nights': None, 'price_per_day': None, 'remarks': 'Лазаревское, под ключ'}"
